date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260716,UCSes4X8uDrpc4X46hJKjejg,k2rjwlyjahc,on_demand,subscribed,ES,102,29,1,1,0.15128333333333333,9.077,16.80925925925926,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,DFY-sVJGeDI,on_demand,subscribed,US,101,9,1,1,0.047083333333333331,2.825,0.11707418151678409,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,59M8g_I818w,on_demand,subscribed,GH,104,5,6,4,2.6812333333333331,40.2185,71.81875,1,0.564
20260716,UCSes4X8uDrpc4X46hJKjejg,J6rzMuvuMuo,on_demand,subscribed,DE,101,2,2,1,1.7719333333333334,106.316,147.6611111111111,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,HAYtxUru2wQ,on_demand,not_subscribed,US,103,10,596,356,495.4915,83.447398876404492,105.62961883089177,39,30.543516666666669
20260716,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,not_subscribed,US,103,10,3,1,2.3449666666666666,140.698,219.840625,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,Ck3vqY7J6xQ,on_demand,subscribed,CA,104,4,27,27,91.657633333333337,203.68362962962962,63.850667595495182,10,42.163333333333334
20260716,UCSes4X8uDrpc4X46hJKjejg,HAYtxUru2wQ,on_demand,not_subscribed,ME,104,4,1,1,0.41333333333333333,24.8,31.39240506329114,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,apguqLi-hhk,on_demand,subscribed,CH,104,4,1,1,10.206666666666667,612.4,99.9021207177814,1,10.206666666666667
20260716,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,not_subscribed,GB,105,4,1,1,1.7,102,13.438735177865613,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,Ck3vqY7J6xQ,on_demand,not_subscribed,UG,102,12,2,2,1.4536833333333334,43.6105,13.671003134796239,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,po8YrSQivoM,on_demand,not_subscribed,AO,102,4,1,1,2.2172333333333332,133.034,3.8762820512820513,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,J6rzMuvuMuo,on_demand,not_subscribed,ZM,104,4,5,3,2.49,49.800000000000004,69.166666666666671,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,JUn4tQJ9Y60,on_demand,not_subscribed,SG,104,5,3,2,1.8067833333333334,54.2035,82.12651515151515,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,J6rzMuvuMuo,on_demand,subscribed,AU,102,28,2,1,1.5125166666666667,90.751,126.04305555555555,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,59M8g_I818w,on_demand,not_subscribed,AL,104,5,6,3,2.3811666666666667,47.416666666666664,84.672619047619051,1,0.36966666666666664
20260716,UCSes4X8uDrpc4X46hJKjejg,apguqLi-hhk,on_demand,subscribed,US,102,28,7,7,42.839766666666669,367.198,59.901794453507343,6,32.691783333333333
20260716,UCSes4X8uDrpc4X46hJKjejg,Ck3vqY7J6xQ,on_demand,subscribed,IN,104,4,7,7,23.99205,205.64614285714285,64.465875503806544,4,15.511666666666667
20260716,UCSes4X8uDrpc4X46hJKjejg,59M8g_I818w,on_demand,subscribed,VG,104,4,1,1,0.081666666666666665,4.9,8.75,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,59M8g_I818w,on_demand,subscribed,BG,104,4,1,1,0.225,13.5,24.107142857142858,0,0
